id, nombre, apellido, precio, codigo, tipo, estado
2,Lou,Gonzalez,10000.000000,BA2491A,1,1
3,Ulrike,Munioz,25000.000000,IB0800A,2,1
4,Brade,Rojas,20000.000000,MM0987B,1,1
5,Kimbell,Diaz,50000.000000,BA2491A,2,1
6,Sheelagh,Perez,18000.000000,IB0800A,3,1
7,Gayle,Soto,30000.000000,MM0987B,2,1
8,Kimberlee,Contreras,33000.000000,BA2491A,1,1
9,Henrieta,Silva,30000.000000,IB0800A,2,1
10,Jeanine,Martinez,18000.000000,MM0987B,2,1
11,Aggie,Sepulveda,15000.000000,BA2491A,2,1
12,Brandea,Morales,15000.000000,IB0800A,2,1
13,Cordelie,Rodriguez,50000.000000,IB0800A,1,1
14,Shel,Lopez,50000.000000,MM0987B,3,1
15,Bronnie,Fuentes,20000.000000,MM0987B,1,1
16,Megen,Hernandez,10000.000000,BA2491A,2,1
17,Iver,Torres,12000.000000,BA2491A,2,1
18,Ernesta,Araya,37000.000000,BA2491A,3,1
19,Cirillo,Flores,50000.000000,MM0987B,3,1
20,Park,Espinoza,30000.000000,MM0987B,3,1
21,Bellanca,Valenzuela,15000.000000,BA2491A,3,1
22,Bobbye,Castillo,15000.000000,BA2491A,1,1
23,Eugene,Tapia,50000.000000,BA2491A,2,1
24,Johnny,Reyes,33000.000000,MM0987B,3,1
25,Reagen,Gutierrez,42000.000000,MM0987B,1,1
26,Braden,Castro,25000.000000,MM0987B,2,1
27,Karim,Pizarro,25000.000000,MM0987B,2,1
28,Anthea,alvarez,42000.000000,MM0987B,3,1
29,Doro,Vasquez,33000.000000,IB0800A,1,1
30,Gaye,Sanchez,37000.000000,IB0800A,3,1
31,Toby,Fernandez,15000.000000,IB0800A,2,1
32,Franny,Ramirez,15000.000000,IB0800A,3,1
33,Katey,Carrasco,42000.000000,MM0987B,1,1
34,Earle,Gomez,10000.000000,BA2491A,2,1
35,Redd,Cortes,42000.000000,BA2491A,1,1
36,Jehanna,Herrera,50000.000000,BA2491A,1,1
37,Cristie,Nuniez,10000.000000,BA2491A,1,1
38,Stefa,Jara,42000.000000,BA2491A,1,1
39,Roda,Vergara,25000.000000,MM0987B,3,1
40,Alfredo,Rivera,10000.000000,MM0987B,3,1
41,Sydney,Figueroa,10000.000000,MM0987B,2,1
42,Brnaba,Riquelme,30000.000000,MM0987B,2,1
43,Ame,Garcia,50000.000000,BA2491A,2,1
44,Bradney,Miranda,25000.000000,BA2491A,2,1
45,Margarete,Bravo,50000.000000,BA2491A,3,1
46,Nikoletta,Vera,50000.000000,MM0987B,2,1
47,Lonnard,Molina,50000.000000,IB0800A,1,1
48,Raine,Vega,30000.000000,IB0800A,2,1
49,Noella,Campos,15000.000000,IB0800A,3,1
50,Dagmar,Sandoval,25000.000000,IB0800A,2,1
51,Carroll,Orellana,42000.000000,IB0800A,2,1
52,Marion,Cardenas,50000.000000,IB0800A,2,1
53,Carline,Olivares,12000.000000,IB0800A,3,1
54,Hyacinthie,Alarcon,15000.000000,MM0987B,3,1
55,Julina,Gallardo,33000.000000,MM0987B,3,1
56,Corina,Ortiz,37000.000000,MM0987B,3,1
57,Bernardine,Garrido,33000.000000,MM0987B,1,1
58,Homer,Salazar,18000.000000,MM0987B,2,1
59,Lianna,Guzman,12000.000000,MM0987B,3,1
60,Celene,Henriquez,50000.000000,MM0987B,1,1
61,Kori,Saavedra,50000.000000,MM0987B,1,1
62,Deeyn,Navarro,20000.000000,MM0987B,1,1
63,Marysa,Aguilera,20000.000000,MM0987B,2,1
64,Loy,Parra,15000.000000,MM0987B,2,1
65,Gabbey,Romero,37000.000000,MM0987B,2,1
66,Star,Aravena,33000.000000,MM0987B,2,1
67,Dominica,Vargas,33000.000000,IB0800A,3,1
68,Blanch,Vazquez,15000.000000,IB0800A,3,1
69,Cristobal,Caceres,15000.000000,IB0800A,3,1
70,Paulita,Yaniez,50000.000000,IB0800A,3,1
71,Sayre,Leiva,33000.000000,IB0800A,3,1
72,Shaughn,Escobar,15000.000000,IB0800A,3,1
73,Katrine,Ruiz,25000.000000,IB0800A,3,1
74,Cristi,Valdes,42000.000000,IB0800A,3,1
75,Cristie,Vidal,25000.000000,IB0800A,3,1
76,Solomon,Salinas,10000.000000,IB0800A,3,1
77,Nananne,Zuniiga,33000.000000,IB0800A,3,1
78,Sacha,Penia,25000.000000,IB0800A,3,1
79,Morse,Godoy,25000.000000,IB0800A,3,1
80,Roland,Lagos,25000.000000,IB0800A,3,1
81,Jesselyn,Maldonado,30000.000000,IB0800A,3,1
82,Kylila,Bustos,12000.000000,IB0800A,3,1
83,Kendre,Medina,25000.000000,IB0800A,3,1
